CustomerKey,CustomerID,SalesRevenue,Orders,Units,FirstPurchaseDate,LastPurchaseDate,ActiveLifespanDays,RevenueShare,CumulativeRevenueShare,RevenueRank
11447,17850,51208.87000000,155,21052,2009-12-05,2010-12-02,362,0.0029900000,0.2611110000,32
6345,12748,50235.14000000,322,37523,2009-12-04,2011-12-09,735,0.0029330000,0.2640440000,33
7005,13408,50174.78200000,106,28675,2009-12-04,2011-12-08,734,0.0029290000,0.2669740000,34
7374,13777,49638.26000000,61,23190,2009-12-02,2011-12-09,737,0.0028980000,0.2698720000,35
11001,17404,47638.12000000,21,50674,2010-01-07,2011-12-05,697,0.0027810000,0.2726540000,36
7478,13881,45179.10000000,43,29760,2010-03-04,2011-12-06,642,0.0026380000,0.2752920000,37
9346,15749,44534.30000000,3,18028,2011-01-11,2011-04-18,97,0.0026000000,0.2778930000,38
10302,16705,43515.05100000,42,22302,2009-12-09,2011-12-09,730,0.0025400000,0.2804340000,39
8695,15098,39916.50000000,3,121,2011-06-10,2011-06-10,0,0.0023300000,0.2827640000,40
8636,15039,39419.92000000,93,17917,2009-12-10,2011-11-30,720,0.0023010000,0.2850660000,41
7628,14031,39099.10000000,44,13822,2009-12-03,2011-12-02,729,0.0022830000,0.2873490000,42
11272,17675,37642.48000000,70,16180,2009-12-10,2011-12-08,728,0.0021980000,0.2895470000,43
10978,17381,36398.65000000,38,42879,2010-06-09,2011-12-01,540,0.0021250000,0.2916730000,44
6518,12921,35233.24000000,74,21328,2009-12-01,2011-11-30,729,0.0020570000,0.2937300000,45
6068,12471,35145.50000000,71,16636,2009-12-07,2011-12-07,730,0.0020520000,0.2957820000,46
11274,17677,35076.31000000,54,20924,2009-12-16,2011-12-08,722,0.0020480000,0.2978300000,47
7499,13902,34023.26000000,5,220596,2009-12-15,2010-03-17,92,0.0019860000,0.2998170000,48
7364,13767,33903.57000000,73,14595,2009-12-01,2011-12-07,736,0.0019790000,0.3017970000,49
9807,16210,33730.97000000,33,12395,2009-12-02,2011-12-08,736,0.0019690000,0.3037660000,50
10376,16779,32911.33000000,53,19493,2009-12-03,2011-12-07,734,0.0019210000,0.3056880000,51
9453,15856,32647.76000000,52,19754,2009-12-03,2011-12-05,732,0.0019060000,0.3075940000,52
6275,12678,32595.18000000,15,22346,2010-01-07,2011-10-28,659,0.0019030000,0.3094980000,53
7855,14258,32051.34000000,25,17488,2009-12-04,2011-11-30,726,0.0018710000,0.3113690000,54
11025,17428,31466.76000000,45,17356,2009-12-01,2011-12-09,738,0.0018370000,0.3132070000,55
8203,14606,29951.56000000,184,15356,2009-12-03,2011-12-08,735,0.0017480000,0.3149560000,56
6306,12709,29766.06000000,32,13814,2009-12-09,2011-11-24,715,0.0017380000,0.3166940000,57
6675,13078,29018.06000000,57,12032,2009-12-01,2011-12-06,735,0.0016940000,0.3183880000,58
6695,13098,28882.44000000,28,15968,2011-01-26,2011-12-08,316,0.0016860000,0.3200750000,59
11537,17940,28475.98000000,14,85578,2009-12-03,2011-10-21,687,0.0016620000,0.3217370000,60
8124,14527,27219.19000000,121,6637,2009-12-02,2011-12-07,735,0.0015890000,0.3233270000,61
6278,12681,26936.76000000,44,16848,2009-12-13,2011-11-25,712,0.0015720000,0.3249000000,62
9930,16333,26626.80000000,22,32184,2011-02-03,2011-12-02,302,0.0015540000,0.3264540000,63
9110,15513,26437.05000000,35,10477,2010-01-13,2011-11-06,662,0.0015430000,0.3279980000,64
11462,17865,26372.29000000,46,12984,2009-12-01,2011-11-09,708,0.0015390000,0.3295380000,65
11848,18251,26278.86000000,9,39639,2009-12-22,2011-09-13,630,0.0015340000,0.3310730000,66
7399,13802,26259.11000000,19,14129,2010-02-16,2011-07-24,523,0.0015330000,0.3326060000,67
11454,17857,25769.54000000,23,15472,2010-03-08,2011-12-05,637,0.0015040000,0.3341110000,68
6328,12731,25631.71000000,17,11633,2010-03-02,2011-11-16,624,0.0014960000,0.3356070000,69
7659,14062,25604.20000000,24,12799,2009-12-10,2011-11-30,720,0.0014950000,0.3371020000,70
6536,12939,25264.80000000,20,10328,2010-01-12,2011-10-06,632,0.0014750000,0.3385780000,71
8492,14895,25119.54000000,38,10714,2009-12-10,2011-12-02,722,0.0014660000,0.3400440000,72
9095,15498,25062.86000000,44,12158,2009-12-16,2011-12-07,721,0.0014630000,0.3415080000,73
6598,13001,24172.10000000,33,13539,2009-12-03,2011-12-05,732,0.0014110000,0.3429190000,74
10122,16525,24171.20000000,48,14432,2009-12-02,2011-12-07,735,0.0014110000,0.3443310000,75
11517,17920,23768.65000000,54,12362,2009-12-06,2011-12-05,729,0.0013870000,0.3457190000,76
9237,15640,23589.06000000,29,12186,2009-12-14,2011-12-05,721,0.0013770000,0.3470960000,77
6006,12409,23419.29000000,7,13143,2010-05-23,2011-09-22,487,0.0013670000,0.3484640000,78
9730,16133,22992.26000000,56,13653,2010-03-31,2011-12-06,615,0.0013420000,0.3498060000,79
8204,14607,22589.63000000,20,14553,2009-12-15,2011-11-24,709,0.0013190000,0.3511250000,80
8756,15159,22116.73000000,34,13512,2010-10-04,2011-12-08,430,0.0012910000,0.3524170000,81
6937,13340,22100.56000000,12,9636,2010-02-22,2011-10-25,610,0.0012900000,0.3537070000,82
6218,12621,22097.20000000,35,13583,2010-02-09,2011-12-08,667,0.0012900000,0.3549970000,83
6079,12482,21941.72000000,27,27040,2010-02-24,2010-05-12,77,0.0012810000,0.3562790000,84
7648,14051,21810.58000000,37,5733,2009-12-03,2011-12-09,736,0.0012730000,0.3575520000,85
10436,16839,21758.25000000,44,11295,2010-02-11,2011-12-01,658,0.0012700000,0.3588230000,86
6350,12753,21429.39000000,6,11421,2010-12-12,2011-11-17,340,0.0012510000,0.3600740000,87
9212,15615,21373.97000000,47,12090,2009-12-02,2011-11-29,727,0.0012480000,0.3613220000,88
6916,13319,21323.22000000,58,8974,2009-12-06,2011-12-04,728,0.0012450000,0.3625670000,89
6279,12682,20744.62000000,51,10419,2009-12-01,2011-12-06,735,0.0012110000,0.3637780000,90
8463,14866,20700.04000000,17,9087,2010-09-21,2011-11-29,434,0.0012080000,0.3649870000,91
8264,14667,20693.68000000,54,12168,2009-12-02,2011-11-29,727,0.0012080000,0.3661960000,92
10840,17243,20614.06000000,69,8077,2009-12-01,2011-12-08,737,0.0012030000,0.3673990000,93
8848,15251,20324.54000000,21,12108,2010-01-29,2011-11-30,670,0.0011860000,0.3685860000,94
6074,12477,20276.37000000,9,6119,2010-03-26,2011-11-17,601,0.0011830000,0.3697700000,95
11303,17706,20272.15000000,31,7824,2010-01-19,2011-12-05,685,0.0011830000,0.3709540000,96
11605,18008,19787.13000000,23,7830,2010-01-06,2011-09-30,632,0.0011550000,0.3721090000,97
10937,17340,19733.55000000,18,9545,2010-02-14,2011-11-10,634,0.0011520000,0.3732610000,98
10736,17139,19584.46000000,25,9859,2010-01-11,2011-11-24,682,0.0011430000,0.3744050000,99
10440,16843,19571.43000000,35,18502,2009-12-10,2011-10-28,687,0.0011420000,0.3755480000,100
