ProductKey,StockCode,RepresentativeDescription,ItemClass,SalesRevenue,UnitsSold,Orders,KnownCustomers,AverageUnitPrice,CancellationValue,CancellationUnits,RevenueShare,CumulativeRevenueShare,RevenueRank,UnitsRank,OrdersRank,KnownCustomerRank
8398,22386,JUMBO BAG PINK POLKADOT,MERCHANDISE,76385.20000000,39467,2245,601,1.93541946,866.98000000,482,0.0038770000,0.0841820000,11,18,13,52
5608,20725,LUNCH BAG RED RETROSPOT,MERCHANDISE,71396.14000000,40506,3056,845,1.76260652,1383.75000000,931,0.0036230000,0.0878060000,12,15,5,12
8319,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,MERCHANDISE,71361.60000000,31433,756,300,2.27027646,330.45000000,9381,0.0036220000,0.0914280000,13,32,290,396
6250,85099F,JUMBO BAG STRAWBERRY,MERCHANDISE,69108.21000000,37113,1855,549,1.86210249,512.24000000,283,0.0035070000,0.0949360000,14,22,36,78
9732,48138,DOORMAT UNION FLAG,MERCHANDISE,67138.19000000,10095,1664,678,6.65063793,359.41000000,51,0.0034070000,0.0983430000,15,235,48,31
7191,23084,RABBIT NIGHT LIGHT,MERCHANDISE,66964.99000000,30788,994,450,2.17503540,208.40000000,108,0.0033980000,0.1017420000,16,36,164,143
5523,20685,DOORMAT RED RETROSPOT,MERCHANDISE,66464.71000000,9789,1725,626,6.78973439,632.53000000,91,0.0033730000,0.1051160000,17,251,43,44
7535,21137,BLACK RECORD COVER FRAME,MERCHANDISE,65223.04000000,18748,634,198,3.47893321,82.29000000,23,0.0033100000,0.1084260000,18,83,390,767
5984,21843,RED RETROSPOT CAKE STAND,MERCHANDISE,65189.95000000,6155,1527,599,10.59138099,5270.25000000,587,0.0033080000,0.1117350000,19,443,58,56
6110,21931,JUMBO STORAGE BAG SUKI,MERCHANDISE,61565.11000000,29196,2329,546,2.10868303,710.63000000,390,0.0031240000,0.1148600000,20,39,11,79
8557,22502,PICNIC BASKET WICKER SMALL,MERCHANDISE,60924.50000000,3774,924,335,16.14321674,436.42000000,86,0.0030920000,0.1179530000,21,726,193,309
5670,21621,VINTAGE UNION JACK BUNTING,MERCHANDISE,60405.04000000,6914,1292,583,8.73662713,544.00000000,64,0.0030650000,0.1210180000,22,380,89,65
5157,15056N,EDWARDIAN PARASOL NATURAL,MERCHANDISE,60169.65000000,11463,1149,347,5.24903166,840.55000000,155,0.0030540000,0.1240730000,23,201,115,290
6349,22114,HOT WATER BOTTLE TEA AND SYMPATHY,MERCHANDISE,59336.64000000,11717,1583,626,5.06414952,795.20000000,220,0.0030110000,0.1270840000,24,194,53,45
6249,85099C,JUMBO BAG BAROQUE BLACK WHITE,MERCHANDISE,59312.04000000,30743,1878,506,1.92928601,570.88000000,313,0.0030100000,0.1300950000,25,37,35,101
6652,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,MERCHANDISE,58699.90000000,18650,1427,701,3.14744772,1185.60000000,448,0.0029790000,0.1330740000,26,85,64,25
6347,22112,CHOCOLATE HOT WATER BOTTLE,MERCHANDISE,58095.79000000,11088,1721,631,5.23951930,687.48000000,156,0.0029480000,0.1360230000,27,206,44,42
8417,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,MERCHANDISE,57442.86000000,27343,2192,658,2.10082507,791.52000000,441,0.0029150000,0.1389390000,28,44,14,35
8219,82484,WOOD BLACK BOARD ANT WHITE FINISH,MERCHANDISE,56809.03000000,9839,1176,451,5.77386218,325.00000000,49,0.0028830000,0.1418220000,29,245,107,141
8473,22470,HEART OF WICKER LARGE,MERCHANDISE,53632.98000000,17816,1952,827,3.01038280,1028.70000000,396,0.0027220000,0.1445440000,30,92,30,13
7843,22139,RETROSPOT TEA SET CERAMIC 11 PC,MERCHANDISE,52971.71000000,10635,2093,941,4.98088481,2014.50000000,460,0.0026880000,0.1472330000,31,220,20,7
7933,22178,VICTORIAN GLASS HANGING T-LIGHT,MERCHANDISE,52607.72000000,40257,1816,593,1.30679683,1262.94000000,1008,0.0026700000,0.1499030000,32,17,37,59
7050,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,MERCHANDISE,52588.21000000,18697,2030,647,2.81265497,1068.80000000,400,0.0026690000,0.1525720000,33,84,26,37
7645,21212,PACK OF 72 RETROSPOT CAKE CASES,MERCHANDISE,51873.55000000,94972,3118,1115,0.54619835,549.66000000,1110,0.0026320000,0.1552050000,34,3,4,4
5891,21733,RED HANGING HEART T-LIGHT HOLDER,MERCHANDISE,50461.54000000,17614,1760,744,2.86485409,1105.20000000,424,0.0025610000,0.1577670000,35,97,40,20
6325,22090,PAPER BUNTING RETROSPOT,MERCHANDISE,50461.40000000,16708,1703,631,3.02019391,1290.15000000,497,0.0025610000,0.1603280000,36,107,45,41
7617,21181,PLEASE ONE PERSON METAL SIGN,MERCHANDISE,50301.94000000,24820,1810,598,2.02666962,225.90000000,114,0.0025530000,0.1628810000,37,56,38,57
6346,22111,SCOTTIE DOG HOT WATER BOTTLE,MERCHANDISE,50017.49000000,9829,1689,717,5.08876691,936.65000000,217,0.0025380000,0.1654200000,38,248,47,21
6108,21929,JUMBO BAG PINK VINTAGE PAISLEY,MERCHANDISE,49685.27000000,25625,1619,504,1.93893736,483.97000000,272,0.0025210000,0.1679420000,39,52,51,104
7718,21232,STRAWBERRY CERAMIC TRINKET BOX,MERCHANDISE,49400.57000000,38077,2435,689,1.29738608,952.59000000,806,0.0025070000,0.1704490000,40,21,8,26
9138,84946,ANTIQUE SILVER TEA GLASS ETCHED,MERCHANDISE,49391.65000000,36841,1769,641,1.34067072,503.03000000,450,0.0025060000,0.1729560000,41,23,39,39
7944,22189,CREAM HEART CARD HOLDER,MERCHANDISE,49348.34000000,16198,1299,536,3.04656994,168.73000000,43,0.0025040000,0.1754610000,42,112,87,82
5156,15056BL,EDWARDIAN PARASOL BLACK,MERCHANDISE,48997.47000000,9666,944,321,5.06905338,1071.35000000,213,0.0024860000,0.1779480000,43,257,184,341
8472,22469,HEART OF WICKER SMALL,MERCHANDISE,48974.71000000,27932,2151,886,1.75335493,424.65000000,281,0.0024850000,0.1804340000,44,42,16,10
9742,48194,DOORMAT HEARTS,MERCHANDISE,48817.38000000,7738,1349,516,6.30878521,172.17000000,25,0.0024770000,0.1829120000,45,334,80,95
5889,21731,RED TOADSTOOL LED NIGHT LIGHT,MERCHANDISE,48347.19000000,28929,1537,415,1.67123612,1457.90000000,990,0.0024530000,0.1853660000,46,40,57,191
8462,22457,NATURAL SLATE HEART CHALKBOARD,MERCHANDISE,47536.03000000,15457,2046,874,3.07537232,315.95000000,109,0.0024120000,0.1877780000,47,124,24,11
8221,82494L,WOODEN FRAME ANTIQUE WHITE,MERCHANDISE,47079.19000000,15717,2059,631,2.99543106,1325.85000000,511,0.0023890000,0.1901680000,48,119,23,43
5909,21754,HOME BUILDING BLOCK WORD,MERCHANDISE,46821.94000000,7646,2066,682,6.12371697,231.65000000,39,0.0023760000,0.1925440000,49,340,22,29
9739,48187,DOORMAT NEW ENGLAND,MERCHANDISE,46643.66000000,7344,1282,525,6.35126089,76.46000000,10,0.0023670000,0.1949120000,50,357,90,86
6107,21928,JUMBO BAG SCANDINAVIAN PAISLEY,MERCHANDISE,46275.06000000,24305,1542,450,1.90393170,536.58000000,295,0.0023480000,0.1972610000,51,60,56,142
5538,21523,DOORMAT FANCY FONT HOME SWEET HOME,MERCHANDISE,46114.59000000,6920,1122,357,6.66395809,47.54000000,6,0.0023400000,0.1996010000,52,378,128,274
7842,22138,BAKING SET 9 PIECE RETROSPOT,MERCHANDISE,45966.16000000,9383,1914,1137,4.89887669,4052.95000000,859,0.0023330000,0.2019340000,53,266,32,3
5610,20727,LUNCH BAG BLACK SKULL.,MERCHANDISE,45792.22000000,26761,2351,705,1.71115503,1778.95000000,1211,0.0023240000,0.2042590000,54,48,10,22
9738,48185,DOORMAT FAIRY CAKE,MERCHANDISE,45777.19000000,6829,983,317,6.70335188,4678.68000000,692,0.0023230000,0.2065820000,55,387,167,348
5672,21623,VINTAGE UNION JACK MEMOBOARD,MERCHANDISE,45441.98000000,6169,530,311,7.36618252,499.20000000,56,0.0023060000,0.2088890000,56,438,487,362
8371,22355,CHARLOTTE BAG SUKI DESIGN,MERCHANDISE,45426.01000000,32013,1742,393,1.41898634,142.69000000,185,0.0023050000,0.2111940000,57,31,42,220
9780,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,MERCHANDISE,44708.15000000,15097,809,302,2.96139299,7164.12000000,2574,0.0022690000,0.2134640000,58,131,253,387
8070,22326,ROUND SNACK BOXES SET OF4 WOODLAND,MERCHANDISE,44360.99000000,15481,1391,439,2.86551191,171.10000000,58,0.0022510000,0.2157150000,59,122,72,160
7615,21175,GIN + TONIC DIET METAL SIGN,MERCHANDISE,43956.48000000,20723,1659,553,2.12114462,3785.58000000,2035,0.0022310000,0.2179460000,60,72,49,77
8268,84078A,SET/4 WHITE RETRO STORAGE CUBES,MERCHANDISE,43844.96000000,1128,328,151,38.86964539,5187.65000000,147,0.0022250000,0.2201720000,61,1834,879,1058
8395,22383,LUNCH BAG SUKI DESIGN,MERCHANDISE,43348.40000000,25115,2398,664,1.72599641,285.80000000,188,0.0022000000,0.2223720000,62,55,9,32
8255,84029E,RED WOOLLY HOTTIE WHITE HEART.,MERCHANDISE,43251.79000000,10701,1145,500,4.04184562,327.70000000,86,0.0021950000,0.2245670000,63,216,119,106
7661,23298,SPOTTY BUNTING,MERCHANDISE,43182.83000000,8473,1146,573,5.09652189,482.81000000,110,0.0021910000,0.2267590000,64,298,118,71
5801,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,MERCHANDISE,43029.57000000,11039,1167,431,3.89795905,206.25000000,55,0.0021840000,0.2289430000,65,208,109,166
6096,21915,RED HARMONICA IN BOX,MERCHANDISE,42787.04000000,36387,1025,467,1.17588809,991.00000000,884,0.0021710000,0.2311150000,66,24,154,130
5611,20728,LUNCH BAG CARS BLUE,MERCHANDISE,42354.45000000,24647,2067,702,1.71844240,1678.00000000,1140,0.0021490000,0.2332650000,67,58,21,23
7467,23203,JUMBO BAG VINTAGE DOILY,MERCHANDISE,42067.78000000,20503,1231,505,2.05178656,1076.40000000,590,0.0021350000,0.2354000000,68,74,97,103
8217,82482,WOODEN PICTURE FRAME WHITE FINISH,MERCHANDISE,41972.85000000,16965,2006,601,2.47408488,1068.15000000,460,0.0021300000,0.2375310000,69,105,28,53
5598,20713,JUMBO BAG OWLS,MERCHANDISE,40724.25000000,20843,1314,371,1.95385741,448.98000000,252,0.0020670000,0.2395980000,70,68,84,250
6318,22083,PAPER CHAIN KIT RETROSPOT,MERCHANDISE,40535.47000000,13763,1401,589,2.94524958,1397.60000000,528,0.0020570000,0.2416550000,71,146,70,62
6163,85066,CREAM SWEETHEART MINI CHEST,MERCHANDISE,38854.98000000,3111,929,471,12.48954676,1248.15000000,107,0.0019720000,0.2436270000,72,865,191,128
5799,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,MERCHANDISE,38848.14000000,9781,1104,433,3.97179633,382.83000000,109,0.0019710000,0.2455990000,73,253,134,164
5609,20726,LUNCH BAG WOODLAND,MERCHANDISE,38572.74000000,22158,1926,585,1.74080422,1497.95000000,1015,0.0019570000,0.2475570000,74,63,31,64
6752,22960,JAM MAKING SET WITH JARS,MERCHANDISE,38431.11000000,9031,1159,583,4.25546561,1012.79000000,247,0.0019500000,0.2495080000,75,276,112,66
8220,82486,WOOD S/3 CABINET ANT WHITE FINISH,MERCHANDISE,38430.03000000,4774,1274,365,8.04985965,855.15000000,105,0.0019500000,0.2514580000,76,589,92,260
8963,22699,ROSES REGENCY TEACUP AND SAUCER,MERCHANDISE,38323.25000000,13095,1424,524,2.92655593,1295.25000000,491,0.0019450000,0.2534030000,77,163,67,89
7608,21166,COOK WITH WINE METAL SIGN,MERCHANDISE,38270.81000000,19997,1425,475,1.91382757,967.23000000,558,0.0019420000,0.2553460000,78,78,65,118
7591,23284,DOORMAT KEEP CALM AND COME IN,MERCHANDISE,38166.64000000,5491,728,378,6.95076306,1601.25000000,225,0.0019370000,0.2572830000,79,498,310,240
9040,22720,SET OF 3 CAKE TINS PANTRY DESIGN,MERCHANDISE,38158.39000000,7493,1385,640,5.09253836,744.95000000,157,0.0019360000,0.2592200000,80,348,74,40
8843,22629,SPACEBOY LUNCH BOX,MERCHANDISE,38014.00000000,20837,1368,456,1.82435091,125.85000000,71,0.0019290000,0.2611490000,81,69,77,137
5597,20712,JUMBO BAG WOODLAND ANIMALS,MERCHANDISE,37540.32000000,17731,1415,387,2.11721391,447.61000000,251,0.0019050000,0.2630550000,82,93,68,227
5458,21485,RETROSPOT HEART HOT WATER BOTTLE,MERCHANDISE,37334.12000000,7648,1385,657,4.88155334,178.20000000,36,0.0018940000,0.2649500000,83,339,73,36
9046,22727,ALARM CLOCK BAKELIKE RED,MERCHANDISE,36637.52000000,9259,1363,473,3.95696295,326.25000000,87,0.0018590000,0.2668090000,84,270,78,122
8072,22328,ROUND SNACK BOXES SET OF 4 FRUITS,MERCHANDISE,36270.61000000,12993,1159,401,2.79155006,1812.45000000,699,0.0018400000,0.2686500000,85,164,111,208
5539,21524,DOORMAT SPOTTY HOME SWEET HOME,MERCHANDISE,36057.55000000,5268,1150,474,6.84463743,56.39000000,7,0.0018300000,0.2704810000,86,520,114,119
5800,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,MERCHANDISE,35748.38000000,9164,1026,426,3.90095809,319.48000000,92,0.0018140000,0.2722950000,87,271,153,174
5607,20724,RED RETROSPOT CHARLOTTE BAG,MERCHANDISE,35227.61000000,32241,2035,524,1.09263391,252.83000000,321,0.0017880000,0.2740830000,88,30,25,88
5910,21755,LOVE BUILDING BLOCK WORD,MERCHANDISE,35121.62000000,5691,1696,661,6.17143208,285.60000000,48,0.0017820000,0.2758660000,89,484,46,34
8391,22379,RECYCLING BAG RETROSPOT,MERCHANDISE,34684.94000000,15786,1570,423,2.19719624,128.95000000,67,0.0017600000,0.2776260000,90,118,55,180
8394,22382,LUNCH BAG SPACEBOY DESIGN,MERCHANDISE,34189.12000000,20319,2153,790,1.68261823,387.25000000,253,0.0017350000,0.2793620000,91,75,15,18
8396,22384,LUNCH BAG PINK POLKADOT,MERCHANDISE,34167.99000000,20831,2106,681,1.64024722,434.85000000,285,0.0017340000,0.2810960000,92,70,19,30
8930,22666,RECIPE BOX PANTRY YELLOW DESIGN,MERCHANDISE,33747.52000000,10728,1657,701,3.14574198,655.55000000,237,0.0017120000,0.2828090000,93,215,50,24
8844,22630,DOLLY GIRL LUNCH BOX,MERCHANDISE,33437.38000000,18087,1333,423,1.84869685,531.00000000,302,0.0016970000,0.2845060000,94,88,82,181
5150,15036,ASSORTED COLOURS SILK FAN,MERCHANDISE,32967.03000000,44272,991,303,0.74464740,644.03000000,929,0.0016730000,0.2861790000,95,12,165,380
9045,22726,ALARM CLOCK BAKELIKE GREEN,MERCHANDISE,32680.57000000,7690,1273,404,4.24974902,247.50000000,66,0.0016580000,0.2878380000,96,336,93,204
8397,22385,JUMBO BAG SPACEBOY DESIGN,MERCHANDISE,32447.67000000,17064,1248,412,1.90152777,725.44000000,426,0.0016460000,0.2894850000,97,104,95,194
6556,22865,HAND WARMER OWL DESIGN,MERCHANDISE,31594.54000000,14622,1212,566,2.16075365,264.35000000,126,0.0016030000,0.2910890000,98,136,101,74
6312,22077,6 RIBBONS RUSTIC CHARM,MERCHANDISE,31584.66000000,17281,1751,685,1.82771020,194.70000000,118,0.0016030000,0.2926920000,99,100,41,27
6364,85152,HAND OVER THE CHOCOLATE SIGN,MERCHANDISE,31571.90000000,16415,1460,486,1.92335668,191.51000000,101,0.0016020000,0.2942940000,100,111,63,111
