AcquisitionCohort,CohortIndex,ActivityMonth,CohortSize,ActiveCustomers,RetentionRate,IsPartialObservation,ObservationStatus
2010-04,16,2011-08,294,41,0.139455782313,False,COMPLETE_MONTH
2010-04,17,2011-09,294,44,0.149659863946,False,COMPLETE_MONTH
2010-04,18,2011-10,294,53,0.180272108844,False,COMPLETE_MONTH
2010-04,19,2011-11,294,67,0.227891156463,False,COMPLETE_MONTH
2010-04,20,2011-12,294,17,0.0578231292517,True,PARTIAL_THROUGH_2011-12-09
2010-05,0,2010-05,255,255,1,False,COMPLETE_MONTH
2010-05,1,2010-06,255,40,0.156862745098,False,COMPLETE_MONTH
2010-05,2,2010-07,255,43,0.16862745098,False,COMPLETE_MONTH
2010-05,3,2010-08,255,45,0.176470588235,False,COMPLETE_MONTH
2010-05,4,2010-09,255,45,0.176470588235,False,COMPLETE_MONTH
2010-05,5,2010-10,255,65,0.254901960784,False,COMPLETE_MONTH
2010-05,6,2010-11,255,54,0.211764705882,False,COMPLETE_MONTH
2010-05,7,2010-12,255,32,0.125490196078,False,COMPLETE_MONTH
2010-05,8,2011-01,255,15,0.0588235294118,False,COMPLETE_MONTH
2010-05,9,2011-02,255,21,0.0823529411765,False,COMPLETE_MONTH
2010-05,10,2011-03,255,29,0.113725490196,False,COMPLETE_MONTH
2010-05,11,2011-04,255,34,0.133333333333,False,COMPLETE_MONTH
2010-05,12,2011-05,255,39,0.152941176471,False,COMPLETE_MONTH
2010-05,13,2011-06,255,39,0.152941176471,False,COMPLETE_MONTH
2010-05,14,2011-07,255,25,0.0980392156863,False,COMPLETE_MONTH
2010-05,15,2011-08,255,32,0.125490196078,False,COMPLETE_MONTH
2010-05,16,2011-09,255,35,0.137254901961,False,COMPLETE_MONTH
2010-05,17,2011-10,255,42,0.164705882353,False,COMPLETE_MONTH
2010-05,18,2011-11,255,39,0.152941176471,False,COMPLETE_MONTH
2010-05,19,2011-12,255,12,0.0470588235294,True,PARTIAL_THROUGH_2011-12-09
2010-06,0,2010-06,267,267,1,False,COMPLETE_MONTH
2010-06,1,2010-07,267,47,0.176029962547,False,COMPLETE_MONTH
2010-06,2,2010-08,267,50,0.187265917603,False,COMPLETE_MONTH
2010-06,3,2010-09,267,55,0.205992509363,False,COMPLETE_MONTH
2010-06,4,2010-10,267,62,0.232209737828,False,COMPLETE_MONTH
2010-06,5,2010-11,267,76,0.284644194757,False,COMPLETE_MONTH
2010-06,6,2010-12,267,34,0.12734082397,False,COMPLETE_MONTH
2010-06,7,2011-01,267,24,0.0898876404494,False,COMPLETE_MONTH
2010-06,8,2011-02,267,22,0.0823970037453,False,COMPLETE_MONTH
2010-06,9,2011-03,267,30,0.112359550562,False,COMPLETE_MONTH
2010-06,10,2011-04,267,28,0.104868913858,False,COMPLETE_MONTH
2010-06,11,2011-05,267,37,0.138576779026,False,COMPLETE_MONTH
2010-06,12,2011-06,267,40,0.149812734082,False,COMPLETE_MONTH
2010-06,13,2011-07,267,33,0.123595505618,False,COMPLETE_MONTH
2010-06,14,2011-08,267,30,0.112359550562,False,COMPLETE_MONTH
2010-06,15,2011-09,267,33,0.123595505618,False,COMPLETE_MONTH
2010-06,16,2011-10,267,35,0.131086142322,False,COMPLETE_MONTH
2010-06,17,2011-11,267,54,0.202247191011,False,COMPLETE_MONTH
2010-06,18,2011-12,267,13,0.0486891385768,True,PARTIAL_THROUGH_2011-12-09
2010-07,0,2010-07,185,185,1,False,COMPLETE_MONTH
2010-07,1,2010-08,185,29,0.156756756757,False,COMPLETE_MONTH
2010-07,2,2010-09,185,34,0.183783783784,False,COMPLETE_MONTH
2010-07,3,2010-10,185,55,0.297297297297,False,COMPLETE_MONTH
2010-07,4,2010-11,185,54,0.291891891892,False,COMPLETE_MONTH
2010-07,5,2010-12,185,26,0.140540540541,False,COMPLETE_MONTH
2010-07,6,2011-01,185,21,0.113513513514,False,COMPLETE_MONTH
2010-07,7,2011-02,185,27,0.145945945946,False,COMPLETE_MONTH
2010-07,8,2011-03,185,27,0.145945945946,False,COMPLETE_MONTH
2010-07,9,2011-04,185,21,0.113513513514,False,COMPLETE_MONTH
2010-07,10,2011-05,185,25,0.135135135135,False,COMPLETE_MONTH
2010-07,11,2011-06,185,27,0.145945945946,False,COMPLETE_MONTH
2010-07,12,2011-07,185,24,0.12972972973,False,COMPLETE_MONTH
2010-07,13,2011-08,185,25,0.135135135135,False,COMPLETE_MONTH
2010-07,14,2011-09,185,36,0.194594594595,False,COMPLETE_MONTH
2010-07,15,2011-10,185,32,0.172972972973,False,COMPLETE_MONTH
2010-07,16,2011-11,185,44,0.237837837838,False,COMPLETE_MONTH
2010-07,17,2011-12,185,15,0.0810810810811,True,PARTIAL_THROUGH_2011-12-09
2010-08,0,2010-08,163,163,1,False,COMPLETE_MONTH
2010-08,1,2010-09,163,32,0.196319018405,False,COMPLETE_MONTH
2010-08,2,2010-10,163,47,0.288343558282,False,COMPLETE_MONTH
2010-08,3,2010-11,163,53,0.325153374233,False,COMPLETE_MONTH
2010-08,4,2010-12,163,27,0.165644171779,False,COMPLETE_MONTH
2010-08,5,2011-01,163,19,0.116564417178,False,COMPLETE_MONTH
2010-08,6,2011-02,163,16,0.0981595092025,False,COMPLETE_MONTH
2010-08,7,2011-03,163,21,0.128834355828,False,COMPLETE_MONTH
2010-08,8,2011-04,163,22,0.134969325153,False,COMPLETE_MONTH
2010-08,9,2011-05,163,21,0.128834355828,False,COMPLETE_MONTH
2010-08,10,2011-06,163,21,0.128834355828,False,COMPLETE_MONTH
2010-08,11,2011-07,163,19,0.116564417178,False,COMPLETE_MONTH
2010-08,12,2011-08,163,24,0.147239263804,False,COMPLETE_MONTH
2010-08,13,2011-09,163,28,0.171779141104,False,COMPLETE_MONTH
2010-08,14,2011-10,163,28,0.171779141104,False,COMPLETE_MONTH
2010-08,15,2011-11,163,32,0.196319018405,False,COMPLETE_MONTH
2010-08,16,2011-12,163,12,0.0736196319018,True,PARTIAL_THROUGH_2011-12-09
2010-09,0,2010-09,239,239,1,False,COMPLETE_MONTH
2010-09,1,2010-10,239,55,0.230125523013,False,COMPLETE_MONTH
2010-09,2,2010-11,239,56,0.234309623431,False,COMPLETE_MONTH
2010-09,3,2010-12,239,31,0.129707112971,False,COMPLETE_MONTH
2010-09,4,2011-01,239,21,0.0878661087866,False,COMPLETE_MONTH
2010-09,5,2011-02,239,25,0.10460251046,False,COMPLETE_MONTH
2010-09,6,2011-03,239,33,0.138075313808,False,COMPLETE_MONTH
2010-09,7,2011-04,239,23,0.0962343096234,False,COMPLETE_MONTH
2010-09,8,2011-05,239,31,0.129707112971,False,COMPLETE_MONTH
2010-09,9,2011-06,239,31,0.129707112971,False,COMPLETE_MONTH
2010-09,10,2011-07,239,29,0.121338912134,False,COMPLETE_MONTH
2010-09,11,2011-08,239,24,0.100418410042,False,COMPLETE_MONTH
2010-09,12,2011-09,239,54,0.225941422594,False,COMPLETE_MONTH
2010-09,13,2011-10,239,40,0.167364016736,False,COMPLETE_MONTH
2010-09,14,2011-11,239,40,0.167364016736,False,COMPLETE_MONTH
2010-09,15,2011-12,239,13,0.0543933054393,True,PARTIAL_THROUGH_2011-12-09
2010-10,0,2010-10,375,375,1,False,COMPLETE_MONTH
2010-10,1,2010-11,375,97,0.258666666667,False,COMPLETE_MONTH
2010-10,2,2010-12,375,55,0.146666666667,False,COMPLETE_MONTH
2010-10,3,2011-01,375,47,0.125333333333,False,COMPLETE_MONTH
2010-10,4,2011-02,375,33,0.088,False,COMPLETE_MONTH
2010-10,5,2011-03,375,31,0.0826666666667,False,COMPLETE_MONTH
2010-10,6,2011-04,375,49,0.130666666667,False,COMPLETE_MONTH
2010-10,7,2011-05,375,52,0.138666666667,False,COMPLETE_MONTH
2010-10,8,2011-06,375,40,0.106666666667,False,COMPLETE_MONTH
2010-10,9,2011-07,375,35,0.0933333333333,False,COMPLETE_MONTH
2010-10,10,2011-08,375,40,0.106666666667,False,COMPLETE_MONTH
2010-10,11,2011-09,375,48,0.128,False,COMPLETE_MONTH
2010-10,12,2011-10,375,72,0.192,False,COMPLETE_MONTH
2010-10,13,2011-11,375,87,0.232,False,COMPLETE_MONTH
2010-10,14,2011-12,375,26,0.0693333333333,True,PARTIAL_THROUGH_2011-12-09
2010-11,0,2010-11,326,326,1,False,COMPLETE_MONTH
2010-11,1,2010-12,326,57,0.174846625767,False,COMPLETE_MONTH
2010-11,2,2011-01,326,31,0.0950920245399,False,COMPLETE_MONTH
2010-11,3,2011-02,326,31,0.0950920245399,False,COMPLETE_MONTH
2010-11,4,2011-03,326,25,0.0766871165644,False,COMPLETE_MONTH
2010-11,5,2011-04,326,29,0.0889570552147,False,COMPLETE_MONTH
2010-11,6,2011-05,326,42,0.128834355828,False,COMPLETE_MONTH
2010-11,7,2011-06,326,33,0.101226993865,False,COMPLETE_MONTH
2010-11,8,2011-07,326,28,0.0858895705521,False,COMPLETE_MONTH
2010-11,9,2011-08,326,30,0.0920245398773,False,COMPLETE_MONTH
2010-11,10,2011-09,326,36,0.110429447853,False,COMPLETE_MONTH
2010-11,11,2011-10,326,48,0.147239263804,False,COMPLETE_MONTH
2010-11,12,2011-11,326,82,0.251533742331,False,COMPLETE_MONTH
2010-11,13,2011-12,326,21,0.0644171779141,True,PARTIAL_THROUGH_2011-12-09
2010-12,0,2010-12,76,76,1,False,COMPLETE_MONTH
2010-12,1,2011-01,76,7,0.0921052631579,False,COMPLETE_MONTH
2010-12,2,2011-02,76,4,0.0526315789474,False,COMPLETE_MONTH
2010-12,3,2011-03,76,7,0.0921052631579,False,COMPLETE_MONTH
2010-12,4,2011-04,76,9,0.118421052632,False,COMPLETE_MONTH
2010-12,5,2011-05,76,5,0.0657894736842,False,COMPLETE_MONTH
2010-12,6,2011-06,76,4,0.0526315789474,False,COMPLETE_MONTH
2010-12,7,2011-07,76,7,0.0921052631579,False,COMPLETE_MONTH
2010-12,8,2011-08,76,4,0.0526315789474,False,COMPLETE_MONTH
2010-12,9,2011-09,76,2,0.0263157894737,False,COMPLETE_MONTH
2010-12,10,2011-10,76,7,0.0921052631579,False,COMPLETE_MONTH
2010-12,11,2011-11,76,15,0.197368421053,False,COMPLETE_MONTH
2010-12,12,2011-12,76,2,0.0263157894737,True,PARTIAL_THROUGH_2011-12-09
2011-01,0,2011-01,72,72,1,False,COMPLETE_MONTH
2011-01,1,2011-02,72,12,0.166666666667,False,COMPLETE_MONTH
2011-01,2,2011-03,72,16,0.222222222222,False,COMPLETE_MONTH
2011-01,3,2011-04,72,14,0.194444444444,False,COMPLETE_MONTH
2011-01,4,2011-05,72,16,0.222222222222,False,COMPLETE_MONTH
2011-01,5,2011-06,72,11,0.152777777778,False,COMPLETE_MONTH
2011-01,6,2011-07,72,11,0.152777777778,False,COMPLETE_MONTH
2011-01,7,2011-08,72,9,0.125,False,COMPLETE_MONTH
2011-01,8,2011-09,72,8,0.111111111111,False,COMPLETE_MONTH
2011-01,9,2011-10,72,15,0.208333333333,False,COMPLETE_MONTH
2011-01,10,2011-11,72,18,0.25,False,COMPLETE_MONTH
2011-01,11,2011-12,72,8,0.111111111111,True,PARTIAL_THROUGH_2011-12-09
2011-02,0,2011-02,125,125,1,False,COMPLETE_MONTH
2011-02,1,2011-03,125,20,0.16,False,COMPLETE_MONTH
2011-02,2,2011-04,125,20,0.16,False,COMPLETE_MONTH
2011-02,3,2011-05,125,23,0.184,False,COMPLETE_MONTH
2011-02,4,2011-06,125,27,0.216,False,COMPLETE_MONTH
2011-02,5,2011-07,125,20,0.16,False,COMPLETE_MONTH
2011-02,6,2011-08,125,20,0.16,False,COMPLETE_MONTH
2011-02,7,2011-09,125,19,0.152,False,COMPLETE_MONTH
2011-02,8,2011-10,125,19,0.152,False,COMPLETE_MONTH
2011-02,9,2011-11,125,23,0.184,False,COMPLETE_MONTH
2011-02,10,2011-12,125,8,0.064,True,PARTIAL_THROUGH_2011-12-09
2011-03,0,2011-03,179,179,1,False,COMPLETE_MONTH
2011-03,1,2011-04,179,32,0.178770949721,False,COMPLETE_MONTH
2011-03,2,2011-05,179,39,0.217877094972,False,COMPLETE_MONTH
2011-03,3,2011-06,179,36,0.201117318436,False,COMPLETE_MONTH
2011-03,4,2011-07,179,40,0.223463687151,False,COMPLETE_MONTH
2011-03,5,2011-08,179,27,0.150837988827,False,COMPLETE_MONTH
2011-03,6,2011-09,179,37,0.206703910615,False,COMPLETE_MONTH
2011-03,7,2011-10,179,36,0.201117318436,False,COMPLETE_MONTH
2011-03,8,2011-11,179,43,0.240223463687,False,COMPLETE_MONTH
2011-03,9,2011-12,179,17,0.0949720670391,True,PARTIAL_THROUGH_2011-12-09
2011-04,0,2011-04,106,106,1,False,COMPLETE_MONTH
2011-04,1,2011-05,106,26,0.245283018868,False,COMPLETE_MONTH
2011-04,2,2011-06,106,21,0.198113207547,False,COMPLETE_MONTH
2011-04,3,2011-07,106,21,0.198113207547,False,COMPLETE_MONTH
2011-04,4,2011-08,106,19,0.179245283019,False,COMPLETE_MONTH
2011-04,5,2011-09,106,25,0.235849056604,False,COMPLETE_MONTH
2011-04,6,2011-10,106,19,0.179245283019,False,COMPLETE_MONTH
2011-04,7,2011-11,106,27,0.254716981132,False,COMPLETE_MONTH
2011-04,8,2011-12,106,12,0.11320754717,True,PARTIAL_THROUGH_2011-12-09
2011-05,0,2011-05,111,111,1,False,COMPLETE_MONTH
2011-05,1,2011-06,111,26,0.234234234234,False,COMPLETE_MONTH
2011-05,2,2011-07,111,27,0.243243243243,False,COMPLETE_MONTH
2011-05,3,2011-08,111,18,0.162162162162,False,COMPLETE_MONTH
2011-05,4,2011-09,111,24,0.216216216216,False,COMPLETE_MONTH
2011-05,5,2011-10,111,23,0.207207207207,False,COMPLETE_MONTH
2011-05,6,2011-11,111,29,0.261261261261,False,COMPLETE_MONTH
2011-05,7,2011-12,111,13,0.117117117117,True,PARTIAL_THROUGH_2011-12-09
2011-06,0,2011-06,108,108,1,False,COMPLETE_MONTH
2011-06,1,2011-07,108,25,0.231481481481,False,COMPLETE_MONTH
2011-06,2,2011-08,108,23,0.212962962963,False,COMPLETE_MONTH
2011-06,3,2011-09,108,29,0.268518518519,False,COMPLETE_MONTH
2011-06,4,2011-10,108,22,0.203703703704,False,COMPLETE_MONTH
2011-06,5,2011-11,108,30,0.277777777778,False,COMPLETE_MONTH
2011-06,6,2011-12,108,9,0.0833333333333,True,PARTIAL_THROUGH_2011-12-09
2011-07,0,2011-07,101,101,1,False,COMPLETE_MONTH
2011-07,1,2011-08,101,21,0.207920792079,False,COMPLETE_MONTH
2011-07,2,2011-09,101,30,0.29702970297,False,COMPLETE_MONTH
2011-07,3,2011-10,101,28,0.277227722772,False,COMPLETE_MONTH
2011-07,4,2011-11,101,35,0.346534653465,False,COMPLETE_MONTH
2011-07,5,2011-12,101,16,0.158415841584,True,PARTIAL_THROUGH_2011-12-09
2011-08,0,2011-08,107,107,1,False,COMPLETE_MONTH
2011-08,1,2011-09,107,28,0.261682242991,False,COMPLETE_MONTH
2011-08,2,2011-10,107,32,0.299065420561,False,COMPLETE_MONTH
2011-08,3,2011-11,107,28,0.261682242991,False,COMPLETE_MONTH
2011-08,4,2011-12,107,18,0.168224299065,True,PARTIAL_THROUGH_2011-12-09
2011-09,0,2011-09,188,188,1,False,COMPLETE_MONTH
2011-09,1,2011-10,188,51,0.271276595745,False,COMPLETE_MONTH
2011-09,2,2011-11,188,71,0.377659574468,False,COMPLETE_MONTH
2011-09,3,2011-12,188,28,0.148936170213,True,PARTIAL_THROUGH_2011-12-09
2011-10,0,2011-10,221,221,1,False,COMPLETE_MONTH
2011-10,1,2011-11,221,70,0.316742081448,False,COMPLETE_MONTH
2011-10,2,2011-12,221,35,0.158371040724,True,PARTIAL_THROUGH_2011-12-09
2011-11,0,2011-11,191,191,1,False,COMPLETE_MONTH
2011-11,1,2011-12,191,27,0.141361256545,True,PARTIAL_THROUGH_2011-12-09
2011-12,0,2011-12,28,28,1,True,PARTIAL_THROUGH_2011-12-09
