CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Code,RFM_Total,Segment,FirstPurchaseDate,LastPurchaseDate,UnitsPurchased,ActiveLifespanDays,AverageOrderValue
12374,26,3,2669.22,4,3,4,434,11,Potential Loyalists,2010-04-30 14:01:00,2011-11-14 15:37:00,1354,563,889.74
12375,11,2,377.5,5,2,2,522,9,Potential Loyalists,2011-09-02 14:23:00,2011-11-29 10:36:00,176,88,188.75
12376,390,2,383.15,2,2,2,222,6,Hibernating,2010-10-18 08:42:00,2010-11-15 12:15:00,237,28,191.575
12377,316,4,3266.32,2,3,5,235,10,At Risk,2010-04-29 15:34:00,2011-01-28 15:45:00,2101,274,816.58
12378,130,2,5416.32,3,2,5,325,10,Promising,2010-05-26 14:07:00,2011-08-02 10:34:00,3316,433,2708.16
12379,82,4,1470.22,3,3,4,334,10,Promising,2010-06-23 12:49:00,2011-09-19 10:09:00,805,453,367.555
12380,22,8,7210.65,4,4,5,445,13,Champions,2010-02-15 12:05:00,2011-11-18 11:27:00,3314,641,901.33125
12381,5,3,1474.81,5,3,4,534,12,Potential Loyalists,2011-08-12 09:57:00,2011-12-05 12:44:00,797,115,491.603333333
12383,185,5,1628.56,3,4,4,344,11,Loyal Customers,2010-12-22 14:28:00,2011-06-08 08:02:00,1518,168,325.712
12384,29,2,425.27,4,2,2,422,8,Potential Loyalists,2011-08-10 11:23:00,2011-11-11 08:39:00,122,93,212.635
12385,380,1,1668.4,2,1,4,214,7,Hibernating,2010-11-25 15:14:00,2010-11-25 15:14:00,594,0,1668.4
12386,338,2,401.9,2,2,2,222,6,Hibernating,2010-12-08 09:53:00,2011-01-06 12:37:00,354,29,200.95
12387,416,1,143.94,1,1,1,111,3,Lost,2010-10-20 16:27:00,2010-10-20 16:27:00,134,0,143.94
12388,16,8,3901.11,5,4,5,545,14,Champions,2010-05-06 12:54:00,2011-11-24 12:30:00,2001,567,487.63875
12389,403,3,1433.33,2,3,4,234,9,At Risk,2010-02-22 10:15:00,2010-11-02 11:52:00,614,253,477.776666667
12390,80,1,504.84,3,1,2,312,6,Need Attention,2011-09-21 09:33:00,2011-09-21 09:33:00,350,0,504.84
12391,22,6,2773.42,4,4,4,444,12,Champions,2010-02-15 10:12:00,2011-11-18 12:07:00,1220,641,462.236666667
12392,592,1,234.75,1,1,1,111,3,Lost,2010-04-27 14:04:00,2010-04-27 14:04:00,73,0,234.75
12393,73,6,2399.45,3,4,4,344,11,Loyal Customers,2010-10-07 13:49:00,2011-09-28 15:41:00,1311,356,399.908333333
12394,64,2,1080.48,3,2,3,323,8,Promising,2011-05-06 14:01:00,2011-10-07 08:08:00,808,154,540.24
12395,20,15,4241.17,5,5,5,555,15,Champions,2010-04-16 10:16:00,2011-11-20 15:21:00,3175,583,282.744666667
12396,675,1,931.43,1,1,3,113,5,Lost,2010-02-03 13:22:00,2010-02-03 13:22:00,591,0,931.43
12397,36,2,2214.9,4,2,4,424,10,Potential Loyalists,2011-07-27 14:21:00,2011-11-04 09:52:00,1250,100,1107.45
12398,46,1,1435.66,4,1,4,414,9,Promising,2011-10-25 10:27:00,2011-10-25 10:27:00,1389,0,1435.66
12399,120,7,1842.3,3,4,4,344,11,Loyal Customers,2010-03-05 08:45:00,2011-08-12 13:15:00,2190,525,263.185714286
12400,415,1,205.25,1,1,1,111,3,Lost,2010-10-21 13:45:00,2010-10-21 13:45:00,91,0,205.25
12401,304,1,69.3,2,1,1,211,4,Hibernating,2011-02-09 13:50:00,2011-02-09 13:50:00,10,0,69.3
12402,324,6,1136.9,2,4,3,243,9,At Risk,2010-02-07 12:41:00,2011-01-20 13:49:00,576,347,189.483333333
12403,50,2,947.36,4,2,3,423,9,Potential Loyalists,2010-07-06 11:39:00,2011-10-21 10:51:00,256,472,473.68
12405,149,1,1390.39,3,1,4,314,8,Need Attention,2011-07-14 08:52:00,2011-07-14 08:52:00,849,0,1390.39
12406,23,5,6390.36,4,4,5,445,13,Champions,2010-01-11 14:04:00,2011-11-17 19:22:00,3416,675,1278.072
12407,50,5,1507.12,4,4,4,444,12,Champions,2011-03-20 13:21:00,2011-10-21 10:11:00,1403,215,301.424
12408,33,8,3905.77,4,4,5,445,13,Champions,2010-07-29 13:27:00,2011-11-07 12:27:00,2200,466,488.22125
12409,79,7,23419.29,3,4,5,345,12,Loyal Customers,2010-05-23 15:21:00,2011-09-22 10:38:00,13143,487,3345.61285714
12410,309,3,773.71,2,3,3,233,8,At Risk,2010-07-25 13:26:00,2011-02-04 10:39:00,335,194,257.903333333
12411,410,1,346.9,1,1,2,112,4,Lost,2010-10-26 09:25:00,2010-10-26 09:25:00,138,0,346.9
12412,75,6,2404.93,3,4,4,344,11,Loyal Customers,2010-06-18 13:22:00,2011-09-26 10:16:00,1986,465,400.821666667
12413,67,4,871.45,3,3,3,333,9,Promising,2010-11-02 13:26:00,2011-10-04 09:00:00,313,336,217.8625
12414,218,4,532.41,2,3,2,232,7,At Risk,2010-09-02 12:22:00,2011-05-06 14:51:00,489,246,133.1025
12415,25,24,144033.37,4,5,5,455,14,Champions,2010-06-30 08:30:00,2011-11-15 14:22:00,91443,503,6001.39041667
12416,657,1,202.56,1,1,1,111,3,Lost,2010-02-21 10:19:00,2010-02-21 10:19:00,132,0,202.56
12417,4,20,6017.91,5,5,5,555,15,Champions,2009-12-06 10:30:00,2011-12-06 14:52:00,2841,730,300.8955
12418,113,4,2021.2,3,3,4,334,10,Promising,2010-03-19 14:47:00,2011-08-19 11:08:00,1088,518,505.3
12419,386,2,391.01,2,2,2,222,6,Hibernating,2010-10-22 10:40:00,2010-11-19 10:04:00,227,28,195.505
12420,64,1,600.39,3,1,2,312,6,Need Attention,2011-10-07 08:55:00,2011-10-07 08:55:00,345,0,600.39
12421,16,6,874.6,5,4,3,543,12,Loyal Customers,2010-07-22 13:57:00,2011-11-24 09:07:00,644,490,145.766666667
12422,96,12,3639.35,3,5,5,355,13,Loyal Customers,2009-12-18 12:44:00,2011-09-05 09:48:00,2579,626,303.279166667
12423,1,10,2301.39,5,5,4,554,14,Champions,2010-08-31 09:31:00,2011-12-09 10:10:00,1772,465,230.139
12424,163,4,3340.03,3,3,5,335,11,Promising,2010-06-09 15:15:00,2011-06-30 12:06:00,2025,386,835.0075
12425,79,2,1741.41,3,2,4,324,9,Promising,2010-09-17 14:10:00,2011-09-22 17:31:00,1147,370,870.705
12426,195,2,1201.21,2,2,3,223,7,Hibernating,2010-02-15 08:41:00,2011-05-29 12:26:00,576,468,600.605
12427,22,3,699.8,4,3,3,433,10,Potential Loyalists,2010-12-03 10:44:00,2011-11-18 08:56:00,526,350,233.266666667
12428,26,8,6405.26,4,4,5,445,13,Champions,2011-03-01 09:33:00,2011-11-14 08:22:00,3509,258,800.6575
12429,10,8,5842.41,5,4,5,545,14,Champions,2010-06-11 13:28:00,2011-11-30 17:22:00,2871,537,730.30125
12430,44,1,216.4,4,1,1,411,6,Promising,2011-10-27 15:09:00,2011-10-27 15:09:00,116,0,216.4
12431,36,25,10169.72,4,5,5,455,14,Champions,2010-01-15 09:04:00,2011-11-04 11:55:00,4588,658,406.7888
12432,43,4,4359.32,4,3,5,435,12,Potential Loyalists,2011-06-20 13:27:00,2011-10-28 11:43:00,1800,130,1089.83
12433,1,10,16794.14,5,5,5,555,15,Champions,2010-08-20 09:23:00,2011-12-09 10:02:00,13534,476,1679.414
12434,85,3,1103.43,3,3,3,333,9,Promising,2010-11-23 13:38:00,2011-09-16 12:38:00,532,297,367.81
12435,80,6,13925.93,3,4,5,345,12,Loyal Customers,2009-12-02 13:58:00,2011-09-21 09:06:00,4958,658,2320.98833333
12436,100,1,429.01,3,1,2,312,6,Need Attention,2011-09-01 12:09:00,2011-09-01 12:09:00,209,0,429.01
12437,2,38,11282.4,5,5,5,555,15,Champions,2009-12-02 16:24:00,2011-12-08 11:35:00,7922,736,296.905263158
12438,15,2,2466.85,5,2,4,524,11,Potential Loyalists,2011-07-22 13:29:00,2011-11-25 13:28:00,1169,126,1233.425
12439,683,2,1158.18,1,2,3,123,6,Lost,2009-12-14 08:40:00,2010-01-26 12:11:00,484,43,579.09
12440,463,2,739.2,1,2,3,123,6,Lost,2009-12-22 12:03:00,2010-09-03 13:11:00,328,255,369.6
12441,367,1,155.55,2,1,1,211,4,Hibernating,2010-12-08 10:45:00,2010-12-08 10:45:00,120,0,155.55
12442,4,1,144.06,5,1,1,511,7,New Customers,2011-12-06 14:22:00,2011-12-06 14:22:00,181,0,144.06
12443,733,1,365.31,1,1,2,112,4,Lost,2009-12-07 15:42:00,2009-12-07 15:42:00,179,0,365.31
12444,22,5,4085.46,4,4,5,445,13,Champions,2011-06-21 14:00:00,2011-11-18 13:23:00,1130,150,817.092
12445,23,2,378.98,4,2,2,422,8,Potential Loyalists,2010-10-15 12:28:00,2011-11-17 18:43:00,204,398,189.49
12446,58,1,1002.31,4,1,3,413,8,Promising,2011-10-13 12:50:00,2011-10-13 12:50:00,351,0,1002.31
12447,244,1,431.49,2,1,2,212,5,Hibernating,2011-04-10 13:25:00,2011-04-10 13:25:00,187,0,431.49
12448,45,1,365.45,4,1,2,412,7,Promising,2011-10-26 13:46:00,2011-10-26 13:46:00,240,0,365.45
12449,23,5,4274.89,4,4,5,445,13,Champions,2010-09-27 09:37:00,2011-11-17 13:46:00,2247,416,854.978
12450,157,5,688.2,3,4,3,343,10,Loyal Customers,2010-08-22 13:11:00,2011-07-06 14:41:00,442,318,137.64
12451,11,8,12629.88,5,4,5,545,14,Champions,2010-06-28 12:58:00,2011-11-29 08:40:00,9358,519,1578.735
12452,17,1,348.57,5,1,2,512,8,New Customers,2011-11-23 08:05:00,2011-11-23 08:05:00,181,0,348.57
12453,135,1,707.09,3,1,3,313,7,Need Attention,2011-07-28 14:08:00,2011-07-28 14:08:00,473,0,707.09
12454,57,4,16459.78,4,3,5,435,12,Potential Loyalists,2010-10-14 17:33:00,2011-10-14 17:13:00,7702,365,4114.945
12455,74,9,5722.95,3,5,5,355,13,Loyal Customers,2009-12-18 12:33:00,2011-09-27 15:31:00,3295,648,635.883333333
12456,45,3,2581.04,4,3,4,434,11,Potential Loyalists,2011-03-30 09:12:00,2011-10-26 14:41:00,1618,210,860.346666667
12457,67,7,2555.91,3,4,4,344,11,Loyal Customers,2010-09-30 17:59:00,2011-10-04 13:13:00,1083,369,365.13
12458,72,4,1502.49,3,3,4,334,10,Promising,2010-08-09 10:33:00,2011-09-29 15:25:00,979,416,375.6225
12459,606,1,398.36,1,1,2,112,4,Lost,2010-04-13 14:53:00,2010-04-13 14:53:00,256,0,398.36
12460,457,1,296.65,1,1,2,112,4,Lost,2010-09-09 13:51:00,2010-09-09 13:51:00,168,0,296.65
12461,155,1,626.88,3,1,3,313,7,Need Attention,2011-07-08 10:23:00,2011-07-08 10:23:00,282,0,626.88
12462,19,2,937.59,5,2,3,523,10,Potential Loyalists,2011-02-09 14:44:00,2011-11-21 09:11:00,527,285,468.795
12463,54,4,1200.78,4,3,3,433,10,Potential Loyalists,2011-04-12 12:47:00,2011-10-17 13:44:00,768,188,300.195
12464,11,8,957.05,5,4,3,543,12,Loyal Customers,2011-02-03 13:30:00,2011-11-29 13:33:00,95,299,119.63125
12465,18,2,682.19,5,2,3,523,10,Potential Loyalists,2011-06-23 13:37:00,2011-11-22 16:34:00,475,152,341.095
12467,424,1,132.8,1,1,1,111,3,Lost,2010-10-12 15:41:00,2010-10-12 15:41:00,129,0,132.8
12468,188,5,3238.74,2,4,5,245,11,At Risk,2010-01-26 10:09:00,2011-06-05 11:36:00,2177,495,647.748
12469,523,2,3070.54,1,2,5,125,8,Lost,2010-06-21 10:30:00,2010-07-05 12:40:00,2552,14,1535.27
12470,690,1,211.95,1,1,1,111,3,Lost,2010-01-19 11:01:00,2010-01-19 11:01:00,95,0,211.95
12471,3,71,35145.5,5,5,5,555,15,Champions,2009-12-07 10:41:00,2011-12-07 15:43:00,16636,730,495.007042254
12472,33,19,14971.29,4,5,5,455,14,Champions,2009-12-14 10:49:00,2011-11-07 14:01:00,10307,693,787.962631579
12473,54,3,2596.23,4,3,4,434,11,Potential Loyalists,2011-06-01 10:15:00,2011-10-17 11:27:00,2419,138,865.41
12474,18,29,11362.45,5,5,5,555,15,Champions,2010-02-11 09:41:00,2011-11-22 14:39:00,7895,649,391.80862069
12475,54,2,1065.64,4,2,3,423,9,Potential Loyalists,2010-10-26 08:49:00,2011-10-17 10:10:00,766,356,532.82
12476,16,18,12351.41,5,5,5,555,15,Champions,2010-07-26 09:04:00,2011-11-24 12:40:00,5547,486,686.189444444
12477,23,9,20276.37,4,5,5,455,14,Champions,2010-03-26 14:01:00,2011-11-17 09:51:00,6119,601,2252.93
12478,4,1,545.99,5,1,2,512,8,New Customers,2011-12-06 09:56:00,2011-12-06 09:56:00,233,0,545.99
12479,12,1,473.2,5,1,2,512,8,New Customers,2011-11-28 13:26:00,2011-11-28 13:26:00,382,0,473.2
12480,29,7,4834.85,4,4,5,445,13,Champions,2010-07-20 13:21:00,2011-11-11 14:52:00,2917,479,690.692857143
12481,23,14,11050.01,4,5,5,455,14,Champions,2010-04-11 13:10:00,2011-11-17 08:29:00,7120,585,789.286428571
12482,577,27,21941.72,1,5,5,155,11,At Risk,2010-02-24 10:24:00,2010-05-12 16:51:00,27040,77,812.656296296
12483,18,19,4092.58,5,5,5,555,15,Champions,2010-01-31 13:28:00,2011-11-22 17:02:00,2143,660,215.398947368
12484,36,9,5573.15,4,5,5,455,14,Champions,2010-01-27 16:41:00,2011-11-04 15:18:00,3242,646,619.238888889
12485,530,1,708.1,1,1,3,113,5,Lost,2010-06-28 15:22:00,2010-06-28 15:22:00,414,0,708.1
12486,432,1,917.28,1,1,3,113,5,Lost,2010-10-04 12:14:00,2010-10-04 12:14:00,520,0,917.28
12487,731,1,285.3,1,1,1,111,3,Lost,2009-12-09 11:36:00,2009-12-09 11:36:00,174,0,285.3
12488,10,3,1244.66,5,3,4,534,12,Potential Loyalists,2011-09-25 10:34:00,2011-11-30 08:50:00,526,66,414.886666667
12489,337,1,298.93,2,1,2,212,5,Hibernating,2011-01-07 13:13:00,2011-01-07 13:13:00,103,0,298.93
12490,6,20,8764.64,5,5,5,555,15,Champions,2009-12-01 12:52:00,2011-12-04 16:07:00,5849,733,438.232
12491,39,1,424.4,4,1,2,412,7,Promising,2011-11-01 12:18:00,2011-11-01 12:18:00,258,0,424.4
12492,64,3,607.21,3,3,3,333,9,Promising,2010-11-01 14:58:00,2011-10-07 15:15:00,438,340,202.403333333
12493,166,2,379.74,3,2,2,322,7,Need Attention,2011-05-26 14:53:00,2011-06-27 10:17:00,204,32,189.87
12494,16,9,1563.27,5,5,4,554,14,Champions,2010-05-12 13:52:00,2011-11-24 09:34:00,965,561,173.696666667
12495,641,1,277.4,1,1,1,111,3,Lost,2010-03-09 10:53:00,2010-03-09 10:53:00,128,0,277.4
12496,621,2,54.09,1,2,1,121,4,Lost,2010-03-29 13:57:00,2010-03-29 14:06:00,33,0,27.045
12497,82,3,5996.5,3,3,5,335,11,Promising,2010-03-05 09:39:00,2011-09-19 12:29:00,5671,563,1998.83333333
12498,22,3,349.7,4,3,2,432,9,Potential Loyalists,2011-10-13 09:30:00,2011-11-18 12:53:00,156,36,116.566666667
12499,561,1,357.72,1,1,2,112,4,Lost,2010-05-28 15:12:00,2010-05-28 15:12:00,300,0,357.72
12500,24,18,5559.21,4,5,5,455,14,Champions,2010-02-04 15:05:00,2011-11-16 16:20:00,3355,650,308.845
12501,337,1,2025.39,2,1,4,214,7,Hibernating,2011-01-07 12:28:00,2011-01-07 12:28:00,1775,0,2025.39
12502,96,5,2995.87,3,4,5,345,12,Loyal Customers,2011-02-03 10:41:00,2011-09-05 11:52:00,794,214,599.174
12503,585,1,896,1,1,3,113,5,Lost,2010-05-04 13:59:00,2010-05-04 13:59:00,560,0,896
12504,19,4,689.05,5,3,3,533,11,Potential Loyalists,2010-04-22 10:24:00,2011-11-21 16:02:00,453,578,172.2625
12505,409,1,787.2,2,1,3,213,6,Hibernating,2010-10-27 09:18:00,2010-10-27 09:18:00,318,0,787.2
12506,233,1,73.5,2,1,1,211,4,Hibernating,2011-04-21 08:54:00,2011-04-21 08:54:00,23,0,73.5
12507,135,4,1508.06,3,3,4,334,10,Promising,2010-05-04 09:23:00,2011-07-28 17:09:00,1244,450,377.015
12508,27,2,398.27,4,2,2,422,8,Potential Loyalists,2011-11-10 16:27:00,2011-11-13 15:37:00,272,3,199.135
12509,285,1,158.5,2,1,1,211,4,Hibernating,2011-02-28 14:45:00,2011-02-28 14:45:00,54,0,158.5
12510,143,7,3039.03,3,4,5,345,12,Loyal Customers,2009-12-04 13:47:00,2011-07-20 10:15:00,2021,593,434.147142857
12511,429,1,3084.02,1,1,5,115,7,Lost,2010-10-07 10:39:00,2010-10-07 10:39:00,1753,0,3084.02
12512,67,2,138.03,3,2,1,321,6,Need Attention,2011-10-04 14:53:00,2011-10-04 14:55:00,99,0,69.015
12513,113,1,558.29,3,1,2,312,6,Need Attention,2011-08-19 10:51:00,2011-08-19 10:51:00,459,0,558.29
12514,268,2,1597.76,2,2,4,224,8,Hibernating,2010-03-08 12:18:00,2011-03-17 16:38:00,840,374,798.88
12515,354,1,278.7,2,1,1,211,4,Hibernating,2010-12-21 15:43:00,2010-12-21 15:43:00,128,0,278.7
12516,78,4,2288.62,3,3,4,334,10,Promising,2010-04-19 14:14:00,2011-09-23 09:13:00,1932,522,572.155
12517,29,4,2322.84,4,3,4,434,11,Potential Loyalists,2011-06-02 15:13:00,2011-11-11 13:57:00,1361,162,580.71
12518,1,5,1840.89,5,4,4,544,13,Champions,2011-08-21 13:18:00,2011-12-09 10:13:00,1306,110,368.178
12519,64,2,636.54,3,2,3,323,8,Promising,2010-08-20 08:21:00,2011-10-07 09:26:00,390,413,318.27
12520,80,5,2346.26,3,4,4,344,11,Loyal Customers,2011-03-11 11:35:00,2011-09-21 15:23:00,1423,194,469.252
12521,143,1,545.68,3,1,2,312,6,Need Attention,2011-07-20 10:51:00,2011-07-20 10:51:00,306,0,545.68
12522,40,2,156.72,4,2,1,421,7,Potential Loyalists,2011-10-19 14:41:00,2011-10-31 15:30:00,192,12,78.36
12523,20,23,4030.15,5,5,5,555,15,Champions,2009-12-07 13:46:00,2011-11-20 12:55:00,2256,713,175.223913043
12524,10,17,9794.11,5,5,5,555,15,Champions,2010-02-08 14:41:00,2011-11-30 15:31:00,7104,660,576.124117647
12525,499,3,883.73,1,3,3,133,7,At Risk,2010-03-02 14:01:00,2010-07-29 16:08:00,504,149,294.576666667
12526,1,3,1172.66,5,3,3,533,11,Potential Loyalists,2011-09-06 14:19:00,2011-12-09 12:09:00,624,94,390.886666667
12527,82,5,717.51,3,4,3,343,10,Loyal Customers,2010-06-28 15:37:00,2011-09-19 11:55:00,525,448,143.502
12528,10,6,1645.48,5,4,4,544,13,Champions,2011-01-31 09:05:00,2011-11-30 14:40:00,740,303,274.246666667
12529,529,1,316.48,1,1,2,112,4,Lost,2010-06-29 13:10:00,2010-06-29 13:10:00,192,0,316.48
12530,60,9,3381.26,3,5,5,355,13,Loyal Customers,2010-03-07 14:37:00,2011-10-11 12:34:00,2692,583,375.695555556
12531,15,2,1771.2,5,2,4,524,11,Potential Loyalists,2010-01-22 14:17:00,2011-11-25 11:12:00,1110,672,885.6
12532,31,1,313.83,4,1,2,412,7,Promising,2011-11-09 13:47:00,2011-11-09 13:47:00,151,0,313.83
12533,628,2,1223.89,1,2,4,124,7,Lost,2009-12-01 11:50:00,2010-03-22 10:56:00,696,111,611.945
12534,131,1,981.18,3,1,3,313,7,Need Attention,2011-08-01 10:26:00,2011-08-01 10:26:00,645,0,981.18
12535,92,2,716.35,3,2,3,323,8,Promising,2011-06-06 12:47:00,2011-09-09 08:48:00,219,95,358.175
12536,60,1,4279.71,3,1,5,315,9,Need Attention,2011-10-11 14:52:00,2011-10-11 14:52:00,2801,0,4279.71
12537,409,1,612.94,2,1,3,213,6,Hibernating,2010-10-27 08:36:00,2010-10-27 08:36:00,446,0,612.94
12538,30,2,640.45,4,2,3,423,9,Potential Loyalists,2010-11-26 13:02:00,2011-11-10 17:16:00,336,349,320.225
12539,23,7,11186.75,4,4,5,445,13,Champions,2009-12-23 13:00:00,2011-11-17 13:30:00,4534,694,1598.10714286
12540,20,32,19250.49,5,5,5,555,15,Champions,2009-12-07 16:56:00,2011-11-20 11:31:00,10911,713,601.5778125
12541,30,3,841.18,4,3,3,433,10,Potential Loyalists,2011-03-04 09:32:00,2011-11-10 10:40:00,675,251,280.393333333
12542,485,2,481.88,1,2,2,122,5,Lost,2010-03-09 16:26:00,2010-08-12 19:12:00,522,156,240.94
12543,449,1,840.25,1,1,3,113,5,Lost,2010-09-17 15:51:00,2010-09-17 15:51:00,683,0,840.25
12544,37,1,316.7,4,1,2,412,7,Promising,2011-11-03 16:15:00,2011-11-03 16:15:00,134,0,316.7
12545,76,2,832.39,3,2,3,323,8,Promising,2011-03-25 12:04:00,2011-09-25 13:39:00,517,184,416.195
12546,47,2,1021.5,4,2,3,423,9,Potential Loyalists,2011-09-23 09:44:00,2011-10-24 12:09:00,628,31,510.75
12547,198,3,299.58,2,3,2,232,7,At Risk,2010-07-27 13:55:00,2011-05-26 12:38:00,306,303,99.86
12548,167,1,67.2,3,1,1,311,5,Need Attention,2011-06-26 15:35:00,2011-06-26 15:35:00,48,0,67.2
12549,576,5,1570.68,1,4,4,144,9,At Risk,2010-01-11 12:29:00,2010-05-13 12:05:00,1365,122,314.136
12550,80,1,824.83,3,1,3,313,7,Need Attention,2011-09-21 14:35:00,2011-09-21 14:35:00,564,0,824.83
12551,358,1,168,2,1,1,211,4,Hibernating,2010-12-17 11:23:00,2010-12-17 11:23:00,100,0,168
12552,40,1,317.82,4,1,2,412,7,Promising,2011-10-31 12:11:00,2011-10-31 12:11:00,85,0,317.82
12553,9,12,4104.75,5,5,5,555,15,Champions,2010-10-12 13:35:00,2011-12-01 16:38:00,2297,415,342.0625
12554,449,1,384.5,1,1,2,112,4,Lost,2010-09-17 12:29:00,2010-09-17 12:29:00,237,0,384.5
12556,51,2,603.71,4,2,2,422,8,Potential Loyalists,2011-07-11 13:35:00,2011-10-20 13:06:00,358,101,301.855
12557,17,8,18096.14,5,4,5,545,14,Champions,2009-12-17 10:39:00,2011-11-23 16:59:00,6382,706,2262.0175
12558,8,1,269.96,5,1,1,511,7,New Customers,2011-12-02 10:41:00,2011-12-02 10:41:00,196,0,269.96
12559,311,2,525.71,2,2,2,222,6,Hibernating,2011-01-24 10:12:00,2011-02-02 09:49:00,281,9,262.855
12560,6,2,1918.01,5,2,4,524,11,Potential Loyalists,2011-07-19 15:55:00,2011-12-04 13:54:00,1098,138,959.005
12561,303,1,238.85,2,1,1,211,4,Hibernating,2011-02-10 11:39:00,2011-02-10 11:39:00,177,0,238.85
12562,9,9,4426.92,5,5,5,555,15,Champions,2010-09-30 13:13:00,2011-12-01 17:20:00,2297,427,491.88
12563,409,1,221.24,2,1,1,211,4,Hibernating,2010-10-27 09:52:00,2010-10-27 09:52:00,112,0,221.24
12564,262,1,402.9,2,1,2,212,5,Hibernating,2011-03-23 14:55:00,2011-03-23 14:55:00,130,0,402.9
12565,289,1,145.92,2,1,1,211,4,Hibernating,2011-02-24 10:34:00,2011-02-24 10:34:00,80,0,145.92
12566,87,1,297.65,3,1,2,312,6,Need Attention,2011-09-14 14:30:00,2011-09-14 14:30:00,262,0,297.65
12567,23,15,10741.48,4,5,5,455,14,Champions,2010-02-11 10:30:00,2011-11-17 11:02:00,5251,644,716.098666667
12568,645,1,52,1,1,1,111,3,Lost,2010-03-05 09:15:00,2010-03-05 09:15:00,47,0,52
12569,3,32,3152.69,5,5,5,555,15,Champions,2011-04-01 13:47:00,2011-12-07 16:24:00,1747,250,98.5215625
12571,40,2,519.61,4,2,2,422,8,Potential Loyalists,2011-08-10 12:35:00,2011-10-31 10:19:00,523,82,259.805
12572,9,2,912.42,5,2,3,523,10,Potential Loyalists,2011-10-19 08:20:00,2011-12-01 09:20:00,446,43,456.21
